Data,Ticker,Preço,Sinal
2026-06-02 08:28:06,VALE3,81.70,VENDA
2026-06-02 08:33:08,VALE3,81.70,VENDA
2026-06-02 08:38:09,VALE3,81.70,VENDA
2026-06-02 08:43:11,VALE3,81.70,VENDA
2026-06-02 08:48:12,VALE3,81.70,VENDA
2026-06-02 08:57:50,VALE3,81.70,VENDA
2026-06-02 09:02:52,VALE3,81.70,VENDA
2026-06-02 09:07:53,VALE3,81.70,VENDA
2026-06-02 09:12:54,VALE3,81.70,VENDA
2026-06-02 09:17:56,VALE3,81.70,VENDA
2026-06-02 09:22:57,VALE3,81.70,VENDA
2026-06-02 09:27:59,VALE3,81.70,VENDA
2026-06-02 09:33:01,VALE3,81.70,VENDA
2026-06-02 09:38:03,VALE3,81.70,VENDA
2026-06-02 09:43:04,VALE3,81.70,VENDA
2026-06-02 09:48:06,VALE3,81.70,VENDA
2026-06-02 09:53:08,VALE3,81.70,VENDA
2026-06-02 09:58:09,VALE3,81.70,VENDA
2026-06-02 10:03:11,VALE3,81.70,VENDA
2026-06-02 10:08:12,VALE3,81.70,VENDA
2026-06-02 10:13:14,VALE3,81.70,VENDA
2026-06-02 10:18:15,VALE3,81.70,VENDA
2026-06-02 10:55:42,VALE3,83.51,COMPRA
2026-06-02 10:59:28,VALE3,83.51,COMPRA
2026-06-02 11:00:43,VALE3,83.51,COMPRA
2026-06-02 11:05:45,VALE3,83.61,COMPRA
